<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:15;1.148.600.000.000;1.149.500.000.000;1.148.600.000.000;1.148.800.000.000;360;SPFB.RTS-12.18;1;12/11/2018;22:15;1.112.900.000.000;1.112.900.000.000;1.112.200.000.000;1.112.300.000.000;117;SPFB.RTS-12.18;1;12/12/2018;22:15;1.122.600.000.000;1.122.600.000.000;1.122.000.000.000;1.122.500.000.000;126
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:16;1.148.800.000.000;1.149.200.000.000;1.148.300.000.000;1.148.500.000.000;392;SPFB.RTS-12.18;1;12/11/2018;22:16;1.112.300.000.000;1.112.400.000.000;1.111.800.000.000;1.111.800.000.000;250;SPFB.RTS-12.18;1;12/12/2018;22:16;1.122.400.000.000;1.123.100.000.000;1.122.000.000.000;1.123.000.000.000;265
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:17;1.148.500.000.000;1.149.000.000.000;1.148.200.000.000;1.148.500.000.000;233;SPFB.RTS-12.18;1;12/11/2018;22:17;1.111.900.000.000;1.112.500.000.000;1.111.800.000.000;1.111.900.000.000;321;SPFB.RTS-12.18;1;12/12/2018;22:17;1.123.000.000.000;1.123.600.000.000;1.122.700.000.000;1.122.700.000.000;345
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:18;1.148.500.000.000;1.148.700.000.000;1.148.200.000.000;1.148.300.000.000;155;SPFB.RTS-12.18;1;12/11/2018;22:18;1.112.000.000.000;1.112.000.000.000;1.111.700.000.000;1.111.900.000.000;175;SPFB.RTS-12.18;1;12/12/2018;22:18;1.122.700.000.000;1.123.700.000.000;1.122.700.000.000;1.123.200.000.000;603
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:19;1.148.300.000.000;1.148.600.000.000;1.148.300.000.000;1.148.600.000.000;92;SPFB.RTS-12.18;1;12/11/2018;22:19;1.111.900.000.000;1.112.800.000.000;1.111.900.000.000;1.112.400.000.000;286;SPFB.RTS-12.18;1;12/12/2018;22:19;1.123.300.000.000;1.123.400.000.000;1.123.000.000.000;1.123.300.000.000;135
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:20;1.148.400.000.000;1.148.400.000.000;1.148.200.000.000;1.148.300.000.000;104;SPFB.RTS-12.18;1;12/11/2018;22:20;1.112.500.000.000;1.112.600.000.000;1.111.600.000.000;1.111.600.000.000;322;SPFB.RTS-12.18;1;12/12/2018;22:20;1.123.200.000.000;1.123.800.000.000;1.123.200.000.000;1.123.500.000.000;140
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:21;1.148.400.000.000;1.149.300.000.000;1.148.300.000.000;1.149.100.000.000;328;SPFB.RTS-12.18;1;12/11/2018;22:21;1.111.800.000.000;1.111.800.000.000;1.110.800.000.000;1.111.100.000.000;622;SPFB.RTS-12.18;1;12/12/2018;22:21;1.123.500.000.000;1.124.000.000.000;1.123.400.000.000;1.123.700.000.000;466
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:22;1.149.000.000.000;1.149.500.000.000;1.148.900.000.000;1.149.200.000.000;338;SPFB.RTS-12.18;1;12/11/2018;22:22;1.111.000.000.000;1.111.300.000.000;1.110.800.000.000;1.110.900.000.000;231;SPFB.RTS-12.18;1;12/12/2018;22:22;1.123.600.000.000;1.123.600.000.000;1.123.000.000.000;1.123.200.000.000;107
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:23;1.149.100.000.000;1.149.400.000.000;1.148.800.000.000;1.149.300.000.000;116;SPFB.RTS-12.18;1;12/11/2018;22:23;1.111.100.000.000;1.111.300.000.000;1.110.300.000.000;1.110.400.000.000;255;SPFB.RTS-12.18;1;12/12/2018;22:23;1.123.200.000.000;1.123.700.000.000;1.122.800.000.000;1.123.000.000.000;184
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:24;1.149.200.000.000;1.149.700.000.000;1.149.100.000.000;1.149.600.000.000;176;SPFB.RTS-12.18;1;12/11/2018;22:24;1.110.500.000.000;1.110.800.000.000;1.110.200.000.000;1.110.300.000.000;238;SPFB.RTS-12.18;1;12/12/2018;22:24;1.123.000.000.000;1.123.400.000.000;1.122.700.000.000;1.123.400.000.000;84
