<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,04/09/18,12:06,106910.0000000,106910.0000000,106910.0000000,106910.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:07,106790.0000000,106790.0000000,106790.0000000,106790.0000000,2
SPFB.RTS-12.18,1,04/09/18,12:08,106910.0000000,106990.0000000,106910.0000000,106990.0000000,8
SPFB.RTS-12.18,1,04/09/18,12:09,106950.0000000,106950.0000000,106950.0000000,106950.0000000,4
SPFB.RTS-12.18,1,04/09/18,12:11,107000.0000000,107000.0000000,107000.0000000,107000.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:12,106990.0000000,106990.0000000,106990.0000000,106990.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:17,107000.0000000,107000.0000000,107000.0000000,107000.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:18,107030.0000000,107050.0000000,107030.0000000,107050.0000000,2
SPFB.RTS-12.18,1,04/09/18,12:20,106980.0000000,106980.0000000,106980.0000000,106980.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:25,107060.0000000,107060.0000000,107060.0000000,107060.0000000,4
SPFB.RTS-12.18,1,04/09/18,12:29,107060.0000000,107060.0000000,107060.0000000,107060.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:30,107150.0000000,107150.0000000,107150.0000000,107150.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:32,107030.0000000,107030.0000000,107030.0000000,107030.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:33,107200.0000000,107200.0000000,107200.0000000,107200.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:36,107300.0000000,107350.0000000,107300.0000000,107310.0000000,5
SPFB.RTS-12.18,1,04/09/18,12:38,107210.0000000,107230.0000000,107210.0000000,107230.0000000,50
SPFB.RTS-12.18,1,04/09/18,12:42,107150.0000000,107150.0000000,107150.0000000,107150.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:43,107150.0000000,107150.0000000,107150.0000000,107150.0000000,1
SPFB.RTS-12.18,1,04/09/18,12:56,107000.0000000,107020.0000000,107000.0000000,107020.0000000,6
SPFB.RTS-12.18,1,04/09/18,12:57,106960.0000000,106960.0000000,106960.0000000,106960.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:02,106930.0000000,106930.0000000,106930.0000000,106930.0000000,5
SPFB.RTS-12.18,1,04/09/18,13:03,106900.0000000,106900.0000000,106850.0000000,106850.0000000,2
SPFB.RTS-12.18,1,04/09/18,13:06,107000.0000000,107080.0000000,107000.0000000,107080.0000000,7
SPFB.RTS-12.18,1,04/09/18,13:11,107120.0000000,107120.0000000,107120.0000000,107120.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:28,106950.0000000,106950.0000000,106920.0000000,106920.0000000,4
SPFB.RTS-12.18,1,04/09/18,13:32,107000.0000000,107000.0000000,107000.0000000,107000.0000000,6
SPFB.RTS-12.18,1,04/09/18,13:34,107000.0000000,107010.0000000,107000.0000000,107010.0000000,15
SPFB.RTS-12.18,1,04/09/18,13:38,107060.0000000,107060.0000000,107060.0000000,107060.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:40,107070.0000000,107070.0000000,107070.0000000,107070.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:41,107050.0000000,107050.0000000,107050.0000000,107050.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:42,107020.0000000,107020.0000000,106850.0000000,106850.0000000,3
SPFB.RTS-12.18,1,04/09/18,13:44,106810.0000000,106860.0000000,106810.0000000,106850.0000000,3
SPFB.RTS-12.18,1,04/09/18,13:47,106990.0000000,107000.0000000,106990.0000000,107000.0000000,3
SPFB.RTS-12.18,1,04/09/18,13:48,107000.0000000,107000.0000000,107000.0000000,107000.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:49,107000.0000000,107000.0000000,107000.0000000,107000.0000000,1
SPFB.RTS-12.18,1,04/09/18,13:56,107010.0000000,107010.0000000,107010.0000000,107010.0000000,1
SPFB.RTS-12.18,1,04/09/18,14:00,106900.0000000,106930.0000000,106900.0000000,106930.0000000,12
SPFB.RTS-12.18,1,04/09/18,14:09,106900.0000000,106930.0000000,106870.0000000,106930.0000000,13
SPFB.RTS-12.18,1,04/09/18,14:10,106930.0000000,106930.0000000,106930.0000000,106930.0000000,10
SPFB.RTS-12.18,1,04/09/18,14:14,106850.0000000,106850.0000000,106700.0000000,106700.0000000,61
SPFB.RTS-12.18,1,04/09/18,14:15,106700.0000000,106850.0000000,106700.0000000,106850.0000000,6
SPFB.RTS-12.18,1,04/09/18,14:22,106870.0000000,106870.0000000,106870.0000000,106870.0000000,1
SPFB.RTS-12.18,1,04/09/18,14:24,106810.0000000,106810.0000000,106760.0000000,106760.0000000,9
SPFB.RTS-12.18,1,04/09/18,14:25,106750.0000000,106750.0000000,106750.0000000,106750.0000000,1
SPFB.RTS-12.18,1,04/09/18,14:26,106740.0000000,106740.0000000,106740.0000000,106740.0000000,1
